id;data_criacao;marca;modelo;kms;data_peritagem;oficina;estado;autoriz_repar;orc_pecas;orc_mo_chapa;orc_mo_pintura;orc_mat_pintura;orc_mat_comp;imobilizado;data_reboque;ponto_situacao;agendamento_repar;tempo_repar;data_real_inicio_repar;data_real_fim_repar;dias_atraso_sem_fds;mao_obra_chapa;mao_obra_pintura;mo_horas_orc_pintura;mo_horas_orc_chapa
4132;13/12/2023;Peugeot;2008;0;15/12/2023;Carnaxide;Definitiva;15/12/2023;104,75;205;98,6;29;0;Não;;Concluído;27/12/2023;3;27/12/2023;28/12/2023;0;2;2;2,53;5,26
4104;07/12/2023;Volkswagen;Tiguan;0;13/12/2023;Carnaxide;Definitiva;13/12/2023;281,7;805,36;194,26;78,5;0;Não;;Concluído;08/01/2024;5;08/01/2024;10/01/2024;0;5;2,5;4,98;20,65
4105;07/12/2023;Opel;Astra;88488;11/12/2023;Carnaxide;Definitiva;11/12/2023;1 099,64 €;561,31;199,14;133,74;0;Não;;Concluído;02/01/2024;4;02/01/2024;04/01/2024;0;6;3;5,11;14,39
4078;05/12/2023;Peugeot;308;0;07/12/2023;Carnaxide;Definitiva;07/12/2023;311,32;229,41;130,32;91,03;0;Não;;Concluído;27/12/2023;3;27/12/2023;28/12/2023;0;2,5;2;3,34;5,88
4093;07/12/2023;Volvo;V60;0;07/12/2023;Queluz;Definitiva;11/12/2023;558,5;366,07;199,14;117,28;0;Não;;Concluído;08/01/2024;4;08/01/2024;09/01/2024;0;3,5;3;5,11;9,39
4075;05/12/2023;Peugeot;508;0;07/12/2023;Carnaxide;Definitiva;13/12/2023;488,04;1 571,68 €;544,23;378,22;0;Não;;Concluído;03/01/2024;8;03/01/2024;12/01/2024;0;15;10;13,95;40,3
4082;05/12/2023;Ford;Focus;0;06/12/2023;Queluz;Definitiva;11/12/2023;105,71;97,62;84,93;59,59;0;Não;;Concluído;21/12/2023;2;21/12/2023;22/12/2023;0;1,5;1,5;2,18;2,5
4070;05/12/2023;Mercedes-Benz;Classe A (176);0;06/12/2023;Carnaxide;Definitiva;27/12/2023;722,95;205;67,36;75,1;0;Não;;Concluído;17/01/2024;3;17/01/2024;18/01/2024;0;1,5;1;1,73;5,26
4066;04/12/2023;Fiat;Tipo;0;06/12/2023;Carnaxide;Definitiva;07/12/2023;751,1;1 753,71 €;531,54;351,93;0;Não;;Concluído;04/01/2024;8;04/01/2024;10/01/2024;0;14;10;13,63;44,97
4057;30/11/2023;BMW;X3;40681;04/12/2023;Carnaxide;Definitiva;04/12/2023;1 015,82 €;223,71;327,52;169,28;0;Não;;Concluído;09/01/2024;4;09/01/2024;11/01/2024;0;4;4;8,4;5,74
4038;28/11/2023;Fiat;Tipo;61472;04/12/2023;Carnaxide;Definitiva;04/12/2023;304,83;654,05;234,29;142,48;0;Não;;Concluído;02/01/2024;4;02/01/2024;04/01/2024;0;8;2;6,01;16,77
4058;30/11/2023;BMW;i4;0;30/11/2023;Queluz;Definitiva;14/12/2023;131,61;211,51;84,93;59,59;0;Não;;Concluído;11/01/2024;2;11/01/2024;12/01/2024;0;1,5;1,5;2,18;5,42
4047;28/11/2023;Volvo;XC60;0;30/11/2023;Carnaxide;Definitiva;30/11/2023;569,69;317,27;225,5;124,59;0;Não;;Concluído;26/12/2023;4;26/12/2023;27/12/2023;0;3;4;5,78;8,14
4006;22/11/2023;Volkswagen;Passat;0;29/11/2023;Carnaxide;Definitiva;30/11/2023;1 222,42 €;244,05;67,36;84,49;0;Não;;Concluído;20/12/2023;3;20/12/2023;22/12/2023;0;2;1;1,73;6,26
4035;27/11/2023;Citroen;C3;0;29/11/2023;Carnaxide;Definitiva;30/11/2023;503,18;375,84;84,93;59,59;0;Não;;Concluído;03/01/2024;3;03/01/2024;04/01/2024;0;2;2;2,18;9,64
3769;17/10/2023;SEAT;Arona;3100;17/10/2023;Carnaxide;Definitiva;13/12/2023;308,9;248,93;73,7;44,71;0;Não;;Concluído;10/01/2024;3;10/01/2024;11/01/2024;0;1,5;1,5;1,89;6,38
